歌曲名,艺术家,专辑名,id,歌曲来源名称,封面,时长
字字句句,卢卢快闭嘴,字字句句,tx_003MYoYc05toSc,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002unS0323LXHL.jpg,03:20
烟火里的尘埃,黄霄雲,烟火里的尘埃 (原唱: 华晨宇),wy_2682936132,wy,http://p1.music.126.net/CilCoVzBdNyX9ftSGBND8g==/109951170594690300.jpg,05:09
我们的爱,F.I.R.,飞儿乐团,wy_354593,wy,http://p2.music.126.net/JOEEbWGRxTrUu-WbYYz_lQ==/109951167320242838.jpg,04:47
我们的明天,鹿晗,我们的明天,wy_29771231,wy,http://p1.music.126.net/Ls6pVy1PUNbJkEICs8-MYQ==/3240260768542190.jpg,03:52
给未来的自己,梁静茹,崇拜,wy_254135,wy,http://p1.music.126.net/8E9NHOTIf6V6Vv45_Taxdg==/109951168163299080.jpg,04:10
Moshi Moshi (feat. 百足),Nozomi Kitay、GAL D,Moshi Moshi (feat. 百足),wy_2119517202,wy,http://p2.music.126.net/7w44iHWN6s7Hh8KfaosU-Q==/109951169275983406.jpg,02:56
孤寂百年,冯子晨、锦零,孤寂百年,wy_1999622522,wy,http://p2.music.126.net/jzPCcoEVJVL4KIF9-YZzzw==/109951168141717833.jpg,03:10
唯一,G.E.M.邓紫棋,T.I.M.E.,wy_2083785152,wy,http://p1.music.126.net/aJWtwvdYRXvKUpAE2C6NoA==/109951168919708423.jpg,04:13
没有如果,梁静茹、严爵,静茹&情歌 别再为他流泪,wy_254099,wy,http://p2.music.126.net/HhlJCv7-ZyzGq49iKfklPg==/109951168750876196.jpg,04:27
风吹麦浪,李健,想念你,wy_110215,wy,http://p2.music.126.net/AFbJ1KzfXApdFO9owHCEfA==/109951163432573502.jpg,04:07
世界上没有真正的感同身受 (Live),王源,我是唱作人 第3期,wy_1370879992,wy,http://p2.music.126.net/OZa4CiOAKw3LyvyaZXTWvA==/109951164137680698.jpg,04:13
新的心跳,G.E.M.邓紫棋,新的心跳,wy_33190007,wy,http://p2.music.126.net/kVwk6b8Qdya8oDyGDcyAVA==/1364493930777368.jpg,03:36
雨爱,杨丞琳,Rainie & Love....? 雨爱,wy_316100,wy,http://p1.music.126.net/M89REFvvLzYoWGaY49E09g==/109951167282433938.jpg,04:20
下一个天亮,郭静,下一个天亮,wy_233882,wy,http://p2.music.126.net/EJnwJffXPnVjxotouLRhug==/109951168105388410.jpg,04:26
Ditto,NewJeans,NewJeans 'OMG',tx_0035pWIl2LO6cf,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003dzmv64ez17A.jpg,03:05
漠河舞厅,柳爽,1st.星球,tx_0043nSjv1TtpMv,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003JbcCj0BKtoz.jpg,05:34
无情画,王唯旖,无情画,tx_003ecXAE1LUOsT,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000036fYXJ0tcx1e.jpg,04:15
舍得,王唯旖,舍得,tx_0037sebg23jTFg,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000015NN8K2RJVPv.jpg,04:22
风景旧曾谙,韦礼安、郭静,孤芳不自赏 电视原声带,tx_003BLT4q3JRhgi,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000019ClpK0chNzA.jpg,05:34
叹云兮,鞠婧祎,叹云兮,wy_863481092,wy,http://p1.music.126.net/80ycl8oJz6UBRsGl7MNRUg==/109951170318437851.jpg,04:43
飞飞,门尼,门尼,wy_2082326623,wy,http://p2.music.126.net/8xy-_WY6taeCAiYX1ErNhg==/109951168916549696.jpg,03:40
What Does It Mean to You,Carpetman,What Does It Mean to You,wy_2643514137,wy,http://p1.music.126.net/IzACfhjYrFJC3IRz-7Cf0A==/109951170121359445.jpg,04:00
Be What You Wanna Be,Darin,Darin,wy_1217823,wy,http://p1.music.126.net/TymAhk2vlsAW10T054d2Qw==/109951165994365993.jpg,03:30
孤影,简弘亦,孤影,wy_1950917526,wy,http://p1.music.126.net/i2iKLnGNZ9O5NqgZF9Mh6w==/109951167478499644.jpg,03:18
戒烟,李荣浩,戒烟,wy_518686034,wy,http://p2.music.126.net/yoxDYFnoCq_gFmsdwyYkiQ==/109951168205342389.jpg,04:53
花海,周杰伦,魔杰座,327075_CAD5C392FA6E6BFC2F76F5905BC027ED,kg,http://imge.kugou.com/stdmusic/100/20241118/20241118160622508429.jpg,04:24
Way Down We Go,KALEO,Way Down We Go,tx_0002sRzz0i0EVw,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003dIPKH36C8Ht.jpg,03:39
残酷月光,林宥嘉,神秘嘉宾,tx_002FeoGW3Y832q,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003rJgHc4NNDUS.jpg,04:29
心跳,王力宏,心·跳,wy_25643258,wy,http://p2.music.126.net/hC-YGyr2cC0E_K_4Vfkztg==/109951163095172063.jpg,04:23
爱错,王力宏,恋爱占星音乐全精选,wy_1301736461,wy,http://p2.music.126.net/febOkiCikU5OcjVLqGNLlg==/109951165994484307.jpg,03:58
春日影 (MyGO!!!!! ver.),MyGO!!!!!,迷迹波,tx_004Fy3wu3A1gHG,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002dgkGb2BeT3R.jpg,04:16
白夜,尹姝贻,白夜,tx_002BvRb01f5qJP,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000001kDOeT1MbIwq.jpg,04:24
壁上观,张曦匀、一棵小葱,壁上观,wy_2066661830,wy,http://p1.music.126.net/mL5Y8OvKVvsdWOO2LYrq_A==/109951168760875117.jpg,04:44
Save Your Tears (Remix),The Weeknd、Ariana Grande,Save Your Tears (Remix),tx_0030ZkB80ExoiX,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000004YErOb04jUak.jpg,03:11
7 Years,Lukas Graham,Lukas Graham,tx_000IvjwO1NYczE,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000040P0iS421Zoq.jpg,03:57
Love Story,Taylor Swift,Fearless,wy_19292984,wy,https://p1.music.126.net/GZERNplXUdzTPkKqo2F4tA==/109951169217536854.jpg,03:56
女儿国·志异 Herland,Metablue赛博蓝、周佳亮,女儿国·志异,tx_002UAokV0Jwjj8,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002pa1801iHYf0.jpg,03:39
我怀念的,孙燕姿,逆光,wy_287063,wy,https://p2.music.126.net/hIOFATG-3vNyYHOj31Tyew==/109951169829283327.jpg,04:49
借口,周杰伦,七里香,tx_002XWgfo0IKPOH,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003DFRzD192KKD.jpg,04:20
温柔,五月天,爱情万岁,tx_003L6xyk0vvEeA,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000042miPf28nzum.jpg,04:29
Levitating,Dua Lipa,Future Nostalgia (Explicit),tx_003XxeuF4YvaAC,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000000lEPQe0L0Nbs.jpg,03:23
晚婚 (纯享版),谭维维,梦想的声音第三季 纯享版,tx_000odtMw1Bwt0Z,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000001ggWwj2uGlRE.jpg,05:08
戒网,村西、王馨悦,戒网（《黑神话：悟空》游戏插曲）,tx_003WNo5J2TxtVw,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000001RCpht2jLgtI.jpg,05:29
如果可以,韦礼安,如果可以,tx_003JOgMV1LeXOC,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003WBcyJ1siUkh.jpg,04:34
认真的雪,薛之谦,薛之谦,tx_001hUNRP0P8g7x,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003mUYW22JXKVK.jpg,04:19
爱错,王力宏,心中的日月,tx_004fneUm24gD2c,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002ElVxf43rOue.jpg,03:58
偷心,张学友,偷心,tx_004IShrs2AZZIL,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003jh8m13nL4IH.jpg,04:21
西厢寻他,伯爵Johnny、唐伯虎Annie,西厢寻他,tx_003XMfM13EU6ko,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M0000004WlXc4Jg5bX.jpg,03:43
青丝,时光胶囊,记忆给他的礼物,tx_003ta1CB4RBewr,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003ftLzW1u7kaP.jpg,04:52
你在，不在,郭采洁,爱异想,tx_002iw9QC0av1jN,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002RsrhE00WCp7.jpg,04:23
最后一页,江语晨,恋习,tx_004INdnu0H2fok,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003FO4XF40Ky8L.jpg,04:05
妥协,蔡依林,花蝴蝶,tx_002RKlSk31qs8G,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003G0veA193M3O.jpg,04:24
Love Story,Taylor Swift,Fearless (Big Machine Radio Release Special),kg_301331254,kg,http://imge.kugou.com/stdmusic/480/20210804/20210804090403358387.jpg,03:56
初见,刘美麟,初见 (眷思量之烟霞海客),kg_110703284,kg,http://imge.kugou.com/stdmusic/480/20210611/20210611141955832034.jpg,03:20
夏天,李玖哲,好玖,kg_57455,kg,http://imge.kugou.com/stdmusic/480/20210113/20210113104847549857.jpg,03:46
问风,金渔,问风,wy_1882420127,wy,http://p1.music.126.net/WP8pIdROWvXRfr1l1IQiMg==/109951169398569089.jpg,03:34
加州梦游,闫泽欢、于梓贝,加州梦游,wy_1474392057,wy,http://p1.music.126.net/843DGQifz6HZqnT3tgi6uQ==/109951165274067573.jpg,04:26
