歌曲名,艺术家,专辑名,id,歌曲来源名称,封面,时长
是你,梦然,是你,kw_229121458,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/13/85/1620207326.jpg,03:43
再见,G.E.M.邓紫棋,新的心跳,kw_6683124,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/82/19/631947701.jpg,03:26
违章动物,许嵩,违章动物,kw_3450440,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/57/30/2725616917.jpg,04:09
嘉宾,张远,嘉宾,kg_84578970,kg,http://imge.kugou.com/stdmusic/480/20210802/20210802110434444360.jpg,05:33
如愿,王菲,如愿,kg_121555048,kg,http://imge.kugou.com/stdmusic/480/20210924/20210924225802830393.jpg,04:25
凉凉,杨宗纬、张碧晨,三生三世十里桃花 电视剧原声专辑,kw_15249349,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/28/12/874556770.jpg,05:33
阳光宅男,周杰伦,我很忙,kw_324248,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/7/83/4087363627.jpg,03:40
没有理想的人不伤心,新裤子,生活因你而火热,kw_7020459,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/60/78/705900609.jpg,05:41
慢冷,梁静茹,我好吗？－太阳如常升起,kw_69319382,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/62/47/3082512393.jpg,04:49
我记得,赵雷,署前街少年,kw_235882595,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/46/52/952362939.jpg,05:29
无赖,郑中基,Before After,kw_19003873,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/6/8/3907882606.jpg,04:03
陪你度过漫长岁月,陈奕迅,陪你度过漫长岁月 (""陪安东尼度过漫长岁月""电影主题曲),kw_6655007,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/30/65/4200753808.jpg,04:02
东风破,周杰伦,叶惠美,kw_79479,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/64/96/2266534336.jpg,05:15
开不了口,周杰伦,范特西,kw_313069,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/39/0/1272200948.jpg,04:44
倒带,蔡依林,城堡,kw_291655,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/95/42/1448394887.jpg,04:24
画心,张靓颖,画心,kw_409472,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/81/80/3317592440.jpg,07:12
有可能的夜晚,曾轶可,2022,kw_228822371,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/35/34/3391932318.jpg,04:30
像风一样,薛之谦,渡 The Crossing,kw_35712554,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/56/73/16781858.jpg,04:15
让我留在你身边,陈奕迅,让我留在你身边,kw_9944843,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/93/67/1443811514.jpg,03:08
夜半,谢宇伦,夜半,kw_60860105,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/53/15/1982790744.jpg,04:55
藏,徐梦圆、双笙,徐梦圆 同名专辑,kw_59197752,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/54/23/292872447.jpg,03:18
清明上河图,李玉刚,新贵妃醉酒,kw_919757,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/84/9/902556646.jpg,04:38
Blueming,IU,Love poem,kg_63243718,kg,http://imge.kugou.com/stdmusic/480/20211216/20211216155407498415.jpg,03:37
独家记忆,陈小春,独家记忆,kg_247776,kg,http://imge.kugou.com/stdmusic/480/20200909/20200909114452517665.jpg,05:07
空心,光泽,光泽,kw_22874360,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/80/46/6598259.jpg,04:39
蝴蝶的时间,许嵩,蝴蝶的时间,kw_36188712,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/17/18/3264308523.jpg,05:20
红昭愿,音阙诗听,红昭愿,kw_16644260,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/14/73/3654364992.jpg,02:53
平凡之路,朴树,猎户星座,kw_5960811,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/75/9/3640622973.jpg,05:01
老街,李荣浩,小黄,kw_853270,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/82/27/3094154924.jpg,05:19
惊鸿一面,许嵩、黄龄,不如吃茶去,kw_4856712,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/59/23/2851294451.jpg,04:16
summertime,cinnamons、evening cinema,summertime,kw_40546680,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/83/71/50885404.jpg,04:11
夜空中最亮的星,逃跑计划,世界,wy_25706282,wy,http://p3.music.126.net/Eef2K2KV9dT3XUA6_Ve-Rw==/109951165543196748.jpg,04:12
赤伶,HITA,赤伶,kw_54916976,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/45/0/3397162585.jpg,04:26
人世间,雷佳,人世间 电视剧原声带,kw_208068689,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/72/30/1353970321.jpg,04:13
别叫我达芬奇(Punk Version),Lil Ghost小鬼,别叫我达芬奇 (Punk Version),kw_176762338,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/78/64/1199388684.jpg,03:24
深海少女,のぶなが,voices in a bottle ～海を越え届いた歌声～,kw_22817589,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/65/28/3508029701.jpg,03:36
兰亭序,周杰伦,魔杰座,kw_440616,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/72/44/3648126291.jpg,04:13
神的随波逐流,泠鸢yousa,填词作品集,kw_51497915,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/55/68/1041899134.jpg,04:16
心做し(カバー),majiko,Contrast,kw_61631119,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/40/90/2518919739.jpg,04:33
打上花火,米津玄师、daoko,打上花火 (通常盤),kw_28510075,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/72/96/2566658895.jpg,04:49
可乐,赵紫骅,可乐,kw_23915465,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/8/59/1706337448.jpg,05:45
春风十里,鹿先森乐队,所有的酒，都不如你,kw_9948047,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/50/61/3660905733.jpg,06:15
燕归巢,许嵩,青年晚报,kw_7117597,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/28/65/3216843124.jpg,04:54
山水之间,许嵩,不如吃茶去,kw_4860442,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/59/23/2851294451.jpg,04:36
清明雨上,许嵩,自定义,kw_461317,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/55/26/2419367180.jpg,03:39
有何不可,许嵩,自定义,kw_455880,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/55/26/2419367180.jpg,04:01
庐州月,许嵩,寻雾启示,kw_624579,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/44/79/2748377536.jpg,04:15
知否知否,胡夏、郁可唯,知否知否应是绿肥红瘦 电视剧原声带,kw_60140414,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/56/60/4126584854.jpg,04:36
西楼别序,尹昔眠、小田音乐社,西楼别序,kw_162096535,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/81/18/1113153742.jpg,03:47
日落大道,梁博,迷藏,kw_6686319,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/86/67/1941541207.jpg,04:35
